Number,Date,TSE:CM(open),TSE:CM(high),TSE:CM(low),TSE:CM(close),TSE:CM(adjusted close),TSE:CM(volume),TSE:CM(dividend amount),TSE:CM(split coefficient)
1482,11/18/2005,74.85,74.95,74.5,74.5,36.7446,451700,0,1
1483,11/21/2005,74.74,75.4,74.64,75.4,37.1884,931600,0,1
1484,11/22/2005,75.39,75.68,75.01,75.43,37.2032,741200,0,1
1485,11/23/2005,75.35,76.13,75.1,76.13,37.5485,647300,0,1
1486,11/24/2005,79,80.3,77.11,77.14,38.0466,2079700,0,1
1487,11/25/2005,77.05,77.4,76.55,76.56,37.7606,419900,0,1
1488,11/28/2005,76.72,77.05,75.75,76.15,37.5583,916400,0,1
1489,11/29/2005,76.49,76.74,75.93,76.12,37.5435,424900,0,1
1490,11/30/2005,76.02,76.3,75.19,75.19,37.0849,869900,0,1
1491,12/1/2005,75.99,76.3,74.09,75.2,37.0898,1614000,0,1
1492,12/2/2005,75.5,75.93,75.01,75.9,37.4351,1901100,0,1
1493,12/5/2005,75.51,76.13,75.5,75.8,37.3857,556200,0,1
1494,12/6/2005,75.8,76.23,75.78,76.03,37.4992,877400,0,1
1495,12/7/2005,75.85,76.25,75.55,76,37.4844,980800,0,1
1496,12/8/2005,75.97,76.1,75.66,75.95,37.4597,543000,0,1
1497,12/9/2005,75.9,76.15,75.52,75.53,37.2526,548300,0,1
1498,12/12/2005,75.75,75.75,74.7,74.75,36.8678,916900,0,1
1499,12/13/2005,74.75,75.05,74.44,74.85,36.9172,1456000,0,1
1500,12/14/2005,75,75.34,74.76,75.05,37.0158,1033000,0,1
1501,12/15/2005,75.11,75.38,74.8,74.89,36.9369,1151100,0,1
1502,12/16/2005,75.55,76.01,75.05,76.01,37.4893,2278600,0,1
1503,12/19/2005,76.17,76.77,76.15,76.55,37.7556,805900,0,1
1504,12/20/2005,76.87,77.17,76.57,76.87,37.9135,452400,0,1
1505,12/21/2005,77.16,78.71,77.16,78.71,38.821,1834000,0,1
1506,12/22/2005,78.18,78.45,77.31,77.5,38.5573,1483900,0,1
1507,12/23/2005,77.63,77.67,76.95,77.25,38.4329,295900,0,1
1508,12/28/2005,77.19,77.25,76.5,76.81,38.214,327900,0,1
1509,12/29/2005,76.71,76.95,76.54,76.83,38.224,212900,0,1
1510,12/30/2005,76.86,76.86,76.21,76.41,38.015,286400,0,1
1511,1/3/2006,76.15,77.68,76.15,77.45,38.5324,604200,0,1
